"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"519","pregnanediol-3-glucuronide","Lipid","Progestin Steroids",-0.00186732986769798,-0.255670803104715,0.252176945057331,0.988702324356292,0.999093744848646,""
"520","alliin","Xenobiotics","Food Component/Plant",0.139484298445473,-0.118642546043111,0.379951678903785,0.287818580513483,0.859592404889262,""
"521","valylglycine","Peptide","Dipeptide",0.0307807191284623,-0.224901812458672,0.282497425907641,0.815399439580219,0.976408555057729,""
"522","prolylglycine","Peptide","Dipeptide",-0.0442458924083864,-0.294857830217182,0.21206134573887,0.73711063907979,0.971250083747139,""
"523","N-palmitoylglycine","Lipid","Fatty Acid Metabolism (Acyl Glycine)",0.0742587273665958,-0.183118887722467,0.322109689131787,0.572832350794612,0.960981009182483,""
"524","mannonate*","Xenobiotics","Food Component/Plant",0.229183311496329,-0.0262701927693994,0.456539555600243,0.0781656921667123,0.828516919036565,""
"525","2-stearoyl-GPE (18:0)*","Lipid","Lysophospholipid",0.0831815050615196,-0.174427425326141,0.330133187461261,0.527475941142995,0.960981009182483,""
"526","(R)-3-hydroxybutyrylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",-0.0374146713766324,-0.288597550076577,0.218586716158943,0.776551649065111,0.971250083747139,""
"527","N-acetylcarnosine","Amino Acid","Histidine Metabolism",0.148333036140411,-0.109724485316189,0.387656493120056,0.258019996490244,0.840136154283436,""
"528","margaroylcarnitine (C17)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",0.0193448243946402,-0.235737852702523,0.271933753186982,0.883364151310551,0.985647226590267,""
"529","histidine betaine (hercynine)*","Xenobiotics","Food Component/Plant",0.0778803805960498,-0.179595967202219,0.325370633887475,0.554206791892817,0.960981009182483,""
"530","glycohyocholate","Lipid","Secondary Bile Acid Metabolism",-0.00441459157238844,-0.25805002664715,0.249790119026297,0.97329492932319,0.995295890369342,""
"531","2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",0.00335882788332464,-0.250779761916955,0.257064282895806,0.979679976115572,0.996474489991839,""
"532","4-methylcatechol sulfate","Xenobiotics","Benzoate Metabolism",0.114301636502314,-0.143796620311544,0.357840376586671,0.384515316735779,0.905790722465325,""
"533","3-methyl catechol sulfate (1)","Xenobiotics","Benzoate Metabolism",0.200902645847652,-0.0558723359840758,0.432750929765244,0.12375808753522,0.831141825375282,""
"534","2-hydroxyibuprofen","Xenobiotics","Drug - Analgesics, Anesthetics",-0.17390049643516,-0.40973238695986,0.0837211329342607,0.183900109093294,0.831141825375282,""
